City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
287,Lompoc,US,34.6391,-120.4579,47.12,87,0,6.91,clear sky
288,Englewood,US,39.6478,-104.9878,29.64,90,100,10.36,mist
289,Kuusamo,FI,65.9667,29.1833,24.84,93,100,14.97,overcast clouds
290,Darhan,MN,49.4867,105.9228,6.42,90,100,1.86,light snow
291,Buzmeyin,TM,38.0507,58.2056,26.33,80,20,0.0,mist
292,Borogontsy,RU,62.6683,131.1683,-50.84,97,100,1.61,overcast clouds
293,Kavaratti,IN,10.5669,72.642,80.51,72,72,11.05,broken clouds
294,Kavieng,PG,-2.5744,150.7967,82.02,72,100,5.06,overcast clouds
295,Richards Bay,ZA,-28.783,32.0377,82.06,64,97,13.91,overcast clouds
296,Okha,RU,53.5739,142.9478,-23.44,90,85,9.42,overcast clouds
297,Visby,SE,57.6409,18.296,36.05,93,20,9.22,few clouds
298,Zmeinogorsk,RU,51.1567,82.195,7.14,93,95,7.16,overcast clouds
299,Korsakov,RU,46.6328,142.7813,13.84,74,96,19.82,overcast clouds
300,Zhigansk,RU,66.7697,123.3711,-55.5,97,69,3.74,broken clouds
301,Ongandjera,NA,-17.8833,15.0667,68.29,83,100,8.34,moderate rain
302,Cullera,ES,39.1667,-0.25,46.96,62,37,11.99,scattered clouds
303,Bacolod,PH,10.6667,122.95,82.31,79,94,12.86,overcast clouds
304,Nanakuli,US,21.3906,-158.1547,78.75,78,0,4.61,clear sky
305,Hobyo,SO,5.3505,48.5268,80.47,61,69,19.91,broken clouds
306,Kalaiya,NP,27.0327,85.0022,66.16,42,0,5.23,clear sky
307,Clyde River,CA,70.4692,-68.5914,-21.77,76,75,11.5,broken clouds
308,San Cristobal,VE,7.7669,-72.225,68.18,88,44,0.76,scattered clouds
309,Ciudad Bolivar,VE,8.1222,-63.5497,74.55,74,95,9.22,overcast clouds
310,Antofagasta,CL,-23.65,-70.4,67.28,83,28,2.46,scattered clouds
311,Saint-Pierre,RE,-21.3393,55.4781,84.9,70,20,32.21,few clouds
312,Kampene,CD,-3.6,26.6667,69.53,96,99,2.86,overcast clouds
313,Menongue,AO,-14.6585,17.691,63.88,95,100,6.93,light rain
314,Broome,US,42.2506,-75.833,41.54,91,100,4.61,light rain
315,Cabo San Lucas,MX,22.8909,-109.9124,68.5,74,81,8.63,broken clouds
316,Lithakia,GR,37.7167,20.8333,58.37,77,53,22.35,broken clouds
317,Si Sa Ket,TH,14.8333,104.3333,87.26,44,65,8.57,broken clouds
318,Pacific Grove,US,36.6177,-121.9166,47.88,87,0,1.99,clear sky
319,Dingle,PH,10.9995,122.6711,81.99,81,100,10.22,overcast clouds
320,Sakakah,SA,29.9697,40.2064,44.17,55,0,2.62,clear sky
